country,type,year,month,demand,source,should_plot
BG,power,2019,9,0.23,energy-charts,True
BG,power,2019,10,0.27,energy-charts,True
BG,power,2019,11,0.38,energy-charts,True
BG,power,2019,12,0.54,energy-charts,True
BG,power,2020,1,0.6,energy-charts,True
BG,power,2020,2,0.52,energy-charts,True
BG,power,2020,3,0.46,energy-charts,True
BG,power,2020,4,0.32,energy-charts,True
BG,power,2020,5,0.2,energy-charts,True
BG,power,2020,6,0.21,energy-charts,True
BG,power,2020,7,0.22,energy-charts,True
BG,power,2020,8,0.26,energy-charts,True
BG,power,2020,9,0.25,energy-charts,True
BG,power,2020,10,0.32,energy-charts,True
BG,power,2020,11,0.48,energy-charts,True
BG,power,2020,12,0.55,energy-charts,True
BG,power,2021,1,0.59,energy-charts,True
BG,power,2021,2,0.51,energy-charts,True
BG,power,2021,3,0.57,energy-charts,True
BG,power,2021,4,0.44,energy-charts,True
BG,power,2021,5,0.29,energy-charts,True
BG,power,2021,6,0.27,energy-charts,True
BG,power,2021,7,0.31,energy-charts,True
BG,power,2021,8,0.31,energy-charts,True
BG,power,2021,9,0.53,energy-charts,True
BG,power,2021,10,0.48,energy-charts,True
BG,power,2021,11,0.54,energy-charts,True
BG,power,2021,12,0.73,energy-charts,True
BG,power,2022,1,0.84,energy-charts,True
BG,power,2022,2,0.6,energy-charts,True
BG,power,2022,3,0.59,energy-charts,True
BG,power,2022,4,0.41,energy-charts,True
BG,power,2022,5,0.3,energy-charts,True
BG,power,2022,6,0.3,energy-charts,True
BG,power,2022,7,0.36,energy-charts,True
BG,power,2022,8,0.29,energy-charts,True
BG,power,2022,9,0.23,energy-charts,True
BG,power,2022,10,0.32,energy-charts,True
BG,power,2022,11,0.47,energy-charts,True
BG,power,2022,12,0.56,energy-charts,True
BG,power,2023,1,0.53,energy-charts,True
BG,power,2023,2,0.47,energy-charts,True
BG,power,2023,3,0.49,energy-charts,True
BG,power,2023,4,0.44,energy-charts,True
BG,power,2023,5,0.25,energy-charts,True
BG,power,2023,6,0.22,energy-charts,True
BG,power,2023,7,0.23,energy-charts,True
BG,power,2023,8,0.23,energy-charts,True
BG,power,2023,9,0.26,energy-charts,True
BG,power,2023,10,0.28,energy-charts,True
BG,power,2023,11,0.4,energy-charts,True
BG,power,2023,12,0.52,energy-charts,True
BG,power,2024,1,0.53,energy-charts,True
BG,power,2024,2,0.48,energy-charts,True
BG,power,2024,3,0.45,energy-charts,True
BG,power,2024,4,0.28,energy-charts,True
BG,power,2024,5,0.25,energy-charts,True
BG,power,2024,6,0.24,energy-charts,True
BG,power,2024,7,0.27,energy-charts,True
BG,power,2024,8,0.28,energy-charts,True
BG,power,2024,9,0.25,energy-charts,True
BG,power,2024,10,0.28,energy-charts,True
BG,power,2024,11,0.36,energy-charts,True
BG,power,2024,12,0.44,energy-charts,True
BG,power,2025,1,0.45,energy-charts,True
BG,power,2025,2,0.4,energy-charts,True
BG,power,2025,3,0.4,energy-charts,True
BG,power,2025,4,0.29,energy-charts,True
BG,power,2025,5,0.15,energy-charts,True
BG,power,2025,6,0.24,energy-charts,True
BG,power,2025,7,0.2,energy-charts,True
BG,power,2025,8,0.18,energy-charts,True
BG,power,2025,9,0.2,energy-charts,True
BG,power,2025,10,0.29,energy-charts,True
BG,power,2025,11,0.39,energy-charts,True
BG,power,2025,12,0.44,energy-charts,True
BG,power,2026,1,0.47,energy-charts,True
BG,power,2026,2,0.43,energy-charts,True
BG,power,2026,3,0.47,energy-charts,True
BG,total,2019,1,4.19,entsog,True
BG,total,2019,2,3.42,entsog,True
BG,total,2019,3,2.97,entsog,True
BG,total,2019,4,2.64,entsog,True
BG,total,2019,5,2.14,entsog,True
BG,total,2019,6,1.81,entsog,True
BG,total,2019,7,1.91,entsog,True
BG,total,2019,8,1.59,entsog,True
BG,total,2019,9,1.66,entsog,True
BG,total,2019,10,1.92,entsog,True
BG,total,2019,11,2.71,entsog,True
BG,total,2019,12,3.49,entsog,True
BG,total,2020,1,3.86,entsog,True
BG,total,2020,2,3.36,entsog,True
BG,total,2020,3,3.16,entsog,True
BG,total,2020,4,2.42,entsog,True
BG,total,2020,5,1.92,entsog,True
BG,total,2020,6,1.91,entsog,True
BG,total,2020,7,1.78,entsog,True
BG,total,2020,8,1.62,entsog,True
BG,total,2020,9,1.75,entsog,True
BG,total,2020,10,2.54,entsog,True
BG,total,2020,11,3.35,entsog,True
BG,total,2020,12,3.64,entsog,True
BG,total,2021,1,4.08,entsog,True
BG,total,2021,2,3.68,entsog,True
BG,total,2021,3,3.98,entsog,True
BG,total,2021,4,3.03,entsog,True
BG,total,2021,5,2.49,entsog,True
BG,total,2021,6,2.36,entsog,True
BG,total,2021,7,2.66,entsog,True
BG,total,2021,8,1.94,entsog,True
BG,total,2021,9,2.09,entsog,True
BG,total,2021,10,2.42,entsog,True
BG,total,2021,11,2.88,entsog,True
BG,total,2021,12,3.72,entsog,True
BG,total,2022,1,4.02,entsog,True
BG,total,2022,2,3.18,entsog,True
BG,total,2022,3,3.49,entsog,True
BG,total,2022,4,2.21,entsog,True
BG,total,2022,5,2.04,entsog,True
BG,total,2022,6,1.93,entsog,True
BG,total,2022,7,1.85,entsog,True
BG,total,2022,8,1.37,entsog,True
BG,total,2022,9,1.36,entsog,True
BG,total,2022,10,1.47,entsog,True
BG,total,2022,11,2.33,entsog,True
BG,total,2022,12,2.92,entsog,True
BG,total,2023,1,2.76,entsog,True
BG,total,2023,2,2.67,entsog,True
BG,total,2023,3,2.78,entsog,True
BG,total,2023,4,2.26,entsog,True
BG,total,2023,5,1.54,entsog,True
BG,total,2023,6,1.45,entsog,True
BG,total,2023,7,1.78,entsog,True
BG,total,2023,8,1.66,entsog,True
BG,total,2023,9,1.8,entsog,True
BG,total,2023,10,1.89,entsog,True
BG,total,2023,11,2.64,entsog,True
BG,total,2023,12,3.04,entsog,True
BG,total,2024,1,3.08,entsog,True
BG,total,2024,2,2.51,entsog,True
BG,total,2024,3,2.74,entsog,True
BG,total,2024,4,2.05,entsog,True
