country,type,date,demand
AT,power,2020-04-16,22497600.0
AT,power,2020-04-17,17523400.0
AT,power,2020-04-18,23536600.0
AT,power,2020-04-19,12018200.0
AT,power,2020-04-20,37647400.0
AT,power,2020-04-21,20892600.0
AT,power,2020-04-22,35128800.0
AT,power,2020-04-23,19213200.0
AT,power,2020-04-24,20283800.0
AT,power,2020-04-25,14307800.0
AT,power,2020-04-26,17936200.0
AT,power,2020-04-27,20378400.0
AT,power,2020-04-28,18984800.0
AT,power,2020-04-29,18556400.0
AT,power,2020-04-30,13872600.0
AT,power,2020-05-01,0.0
AT,power,2020-05-02,360600.0
AT,power,2020-05-03,3677800.0
AT,power,2020-05-04,14546200.0
AT,power,2020-05-05,5052600.0
AT,power,2020-05-06,5262800.0
AT,power,2020-05-07,4769800.0
AT,power,2020-05-08,13703600.0
AT,power,2020-05-09,3593800.0
AT,power,2020-05-10,684000.0
AT,power,2020-05-11,757800.0
AT,power,2020-05-12,4895200.0
AT,power,2020-05-13,11586000.0
AT,power,2020-05-14,4978600.0
AT,power,2020-05-15,5284800.0
AT,power,2020-05-16,3785800.0
AT,power,2020-05-17,617400.0
AT,power,2020-05-18,19597000.0
AT,power,2020-05-19,28322000.0
AT,power,2020-05-20,3568399.9999999995
AT,power,2020-05-21,0.0
AT,power,2020-05-22,0.0
AT,power,2020-05-23,0.0
AT,power,2020-05-24,162000.0
AT,power,2020-05-25,3844800.0
AT,power,2020-05-26,8006800.0
AT,power,2020-05-27,4224000.0
AT,power,2020-05-28,11605000.0
AT,power,2020-05-29,5778600.0
AT,power,2020-05-30,703200.0
AT,power,2020-05-31,0.0
AT,power,2020-06-01,20177200.0
AT,power,2020-06-02,18287200.0
AT,power,2020-06-03,45183600.0
AT,power,2020-06-04,6072599.999999999
AT,power,2020-06-05,17798800.0
AT,power,2020-06-06,0.0
AT,power,2020-06-07,0.0
AT,power,2020-06-08,259600.0
AT,power,2020-06-09,11166000.0
AT,power,2020-06-10,7257200.0
AT,power,2020-06-11,0.0
AT,power,2020-06-12,0.0
AT,power,2020-06-13,0.0
AT,power,2020-06-14,0.0
AT,power,2020-06-15,3698000.0
AT,power,2020-06-16,251000.0
AT,power,2020-06-17,9587400.0
AT,power,2020-06-18,285400.0
AT,power,2020-06-19,267000.0
AT,power,2020-06-20,86800.0
AT,power,2020-06-21,62600.0
AT,power,2020-06-22,443400.0
AT,power,2020-06-23,283800.0
AT,power,2020-06-24,13444800.000000002
AT,power,2020-06-25,5464200.0
AT,power,2020-06-26,299200.0
AT,power,2020-06-27,67000.0
AT,power,2020-06-28,5662000.0
AT,power,2020-06-29,16450599.999999998
AT,power,2020-06-30,4461800.0
AT,power,2020-07-01,23186600.0
AT,power,2020-07-02,28494600.0
AT,power,2020-07-03,19511200.0
AT,power,2020-07-04,0.0
AT,power,2020-07-05,0.0
AT,power,2020-07-06,31355000.0
AT,power,2020-07-07,21123200.0
AT,power,2020-07-08,46028400.0
AT,power,2020-07-09,63544000.0
AT,power,2020-07-10,35320800.0
AT,power,2020-07-11,21671000.0
AT,power,2020-07-12,17756000.0
AT,power,2020-07-13,23677400.0
AT,power,2020-07-14,29296600.0
AT,power,2020-07-15,36898400.0
AT,power,2020-07-16,31435800.0
AT,power,2020-07-17,22178400.0
AT,power,2020-07-18,21441800.0
AT,power,2020-07-19,21533600.0
AT,power,2020-07-20,25840600.0
AT,power,2020-07-21,32950000.0
AT,power,2020-07-22,57888000.0
AT,power,2020-07-23,60138600.0
AT,power,2020-07-24,36471800.0
AT,power,2020-07-25,22572000.0
AT,power,2020-07-26,6647600.0
AT,power,2020-07-27,22447600.0
AT,power,2020-07-28,29075200.0
AT,power,2020-07-29,27308800.0
AT,power,2020-07-30,38462000.0
AT,power,2020-07-31,29618200.0
AT,power,2020-08-01,21558400.0
AT,power,2020-08-02,20671600.0
AT,power,2020-08-03,24625400.0
AT,power,2020-08-04,20500000.0
AT,power,2020-08-05,19573200.0
AT,power,2020-08-06,20497600.0
AT,power,2020-08-07,27855800.0
AT,power,2020-08-08,21355600.0
AT,power,2020-08-09,18871200.0
AT,power,2020-08-10,29006200.0
AT,power,2020-08-11,42189800.0
AT,power,2020-08-12,36327000.0
AT,power,2020-08-13,20539600.0
AT,power,2020-08-14,24706600.0
AT,power,2020-08-15,21741200.0
AT,power,2020-08-16,21694600.0
AT,power,2020-08-17,42018000.0
AT,power,2020-08-18,46995400.0
AT,power,2020-08-19,20617000.0
AT,power,2020-08-20,25887000.0
AT,power,2020-08-21,23391600.0
AT,power,2020-08-22,21608000.0
AT,power,2020-08-23,9212200.0
AT,power,2020-08-24,37131000.0
