country,date,demand,type,source
AT,2020-01-06,467786802.657,total,aggm
AT,2020-01-07,431960344.40999997,total,aggm
AT,2020-01-08,452387268.06200004,total,aggm
AT,2020-01-09,450953474.711,total,aggm
AT,2020-01-10,375719969.218,total,aggm
AT,2020-01-11,400593415.507,total,aggm
AT,2020-01-12,453389846.865,total,aggm
AT,2020-01-13,468043343.673,total,aggm
AT,2020-01-14,476043893.87399995,total,aggm
AT,2020-01-15,485642744.16999996,total,aggm
AT,2020-01-16,460854044.541,total,aggm
AT,2020-01-17,419775359.02000004,total,aggm
AT,2020-01-18,394059419.259,total,aggm
AT,2020-01-19,453134234.863,total,aggm
AT,2020-01-20,480822749.855,total,aggm
AT,2020-01-21,468525138.565,total,aggm
AT,2020-01-22,458787439.716,total,aggm
AT,2020-01-23,462518465.742,total,aggm
AT,2020-01-24,426668105.40400004,total,aggm
AT,2020-01-25,431884997.139,total,aggm
AT,2020-01-26,470984252.873,total,aggm
AT,2020-01-27,473727160.386,total,aggm
AT,2020-01-28,451587261.724,total,aggm
AT,2020-01-29,448597586.334,total,aggm
AT,2020-01-30,355644215.63100004,total,aggm
AT,2020-01-31,283295550.269,total,aggm
AT,2020-02-01,262552679.28199998,total,aggm
AT,2020-02-02,364147621.28900003,total,aggm
AT,2020-02-03,399871585.753,total,aggm
AT,2020-02-04,397507509.313,total,aggm
AT,2020-02-05,411450593.107,total,aggm
AT,2020-02-06,413815008.184,total,aggm
AT,2020-02-07,378090673.668,total,aggm
AT,2020-02-08,337177532.259,total,aggm
AT,2020-02-09,338444671.78999996,total,aggm
AT,2020-02-10,339031558.176,total,aggm
AT,2020-02-11,351679559.729,total,aggm
AT,2020-02-12,371569982.362,total,aggm
AT,2020-02-13,351448384.499,total,aggm
AT,2020-02-14,309136383.522,total,aggm
AT,2020-02-15,285582746.00299996,total,aggm
AT,2020-02-16,319312942.24899995,total,aggm
AT,2020-02-17,317024682.909,total,aggm
AT,2020-02-18,338157816.906,total,aggm
AT,2020-02-19,345751567.217,total,aggm
AT,2020-02-20,327652262.009,total,aggm
AT,2020-02-21,284476408.171,total,aggm
AT,2020-02-22,245262479.256,total,aggm
AT,2020-02-23,312021912.661,total,aggm
AT,2020-02-24,304500085.624,total,aggm
AT,2020-02-25,355188900.627,total,aggm
AT,2020-02-26,371251586.69500005,total,aggm
AT,2020-02-27,377997084.36,total,aggm
AT,2020-02-28,317988331.805,total,aggm
AT,2020-02-29,285904408.805,total,aggm
AT,2020-03-01,306065679.199,total,aggm
AT,2020-03-02,325116305.89500004,total,aggm
AT,2020-03-03,349997308.29800004,total,aggm
AT,2020-03-04,333349556.455,total,aggm
AT,2020-03-05,317514262.389,total,aggm
AT,2020-03-06,307794254.888,total,aggm
AT,2020-03-07,290304278.006,total,aggm
AT,2020-03-08,332902903.124,total,aggm
AT,2020-03-09,307819623.152,total,aggm
AT,2020-03-10,277696060.957,total,aggm
AT,2020-03-11,267690398.592,total,aggm
AT,2020-03-12,282990392.913,total,aggm
AT,2020-03-13,289843007.948,total,aggm
AT,2020-03-14,259878953.61,total,aggm
AT,2020-03-15,297857618.202,total,aggm
AT,2020-03-16,288741381.16800004,total,aggm
AT,2020-03-17,261013633.35799998,total,aggm
AT,2020-03-18,252541259.137,total,aggm
AT,2020-03-19,237686110.257,total,aggm
AT,2020-03-20,236208970.822,total,aggm
AT,2020-03-21,280249915.504,total,aggm
AT,2020-03-22,344542021.353,total,aggm
AT,2020-03-23,356101035.994,total,aggm
AT,2020-03-24,365829514.39,total,aggm
AT,2020-03-25,351102653.745,total,aggm
AT,2020-03-26,300156214.51,total,aggm
AT,2020-03-27,245023603.351,total,aggm
AT,2020-03-28,218716302.702,total,aggm
AT,2020-03-29,323822852.961,total,aggm
AT,2020-03-30,358084986.799,total,aggm
AT,2020-03-31,320372168.22300005,total,aggm
AT,2020-04-01,285230436.456,total,aggm
AT,2020-04-02,240462549.278,total,aggm
AT,2020-04-03,205555838.973,total,aggm
AT,2020-04-04,240182589.951,total,aggm
AT,2020-04-05,229322423.67799997,total,aggm
AT,2020-04-06,210451071.584,total,aggm
AT,2020-04-07,201646037.778,total,aggm
AT,2020-04-08,218288207.1,total,aggm
AT,2020-04-09,181347550.066,total,aggm
AT,2020-04-10,147005455.59100002,total,aggm
AT,2020-04-11,131409679.271,total,aggm
AT,2020-04-12,129229093.853,total,aggm
AT,2020-04-13,222161455.33,total,aggm
AT,2020-04-14,264673692.658,total,aggm
AT,2020-04-15,206614761.522,total,aggm
AT,2020-04-16,179634570.726,total,aggm
AT,2020-04-17,164987119.516,total,aggm
AT,2020-04-18,163636722.406,total,aggm
AT,2020-04-19,222225775.594,total,aggm
AT,2020-04-20,201636122.789,total,aggm
AT,2020-04-21,208837794.777,total,aggm
AT,2020-04-22,193023618.329,total,aggm
AT,2020-04-23,177304583.55,total,aggm
AT,2020-04-24,154004274.40600002,total,aggm
AT,2020-04-25,158275807.621,total,aggm
AT,2020-04-26,185001040.375,total,aggm
AT,2020-04-27,169314396.627,total,aggm
AT,2020-04-28,185452661.38,total,aggm
AT,2020-04-29,168603936.431,total,aggm
AT,2020-04-30,143787569.725,total,aggm
AT,2020-05-01,140537270.594,total,aggm
AT,2020-05-02,152415447.983,total,aggm
AT,2020-05-03,181831092.129,total,aggm
AT,2020-05-04,181302210.788,total,aggm
AT,2020-05-05,186287358.39499998,total,aggm
AT,2020-05-06,166427136.929,total,aggm
AT,2020-05-07,160691906.129,total,aggm
AT,2020-05-08,123268038.02600001,total,aggm
AT,2020-05-09,115953468.488,total,aggm
AT,2020-05-10,140229378.59,total,aggm
AT,2020-05-11,178082422.311,total,aggm
AT,2020-05-12,179121020.12,total,aggm
AT,2020-05-13,177282174.26000002,total,aggm
AT,2020-05-14,186721169.52,total,aggm
AT,2020-05-15,153224323.119,total,aggm
AT,2020-05-16,132781588.55300002,total,aggm
AT,2020-05-17,158346189.544,total,aggm
AT,2020-05-18,163099819.505,total,aggm
AT,2020-05-19,133791472.394,total,aggm
AT,2020-05-20,117626455.734,total,aggm
AT,2020-05-21,122540607.70199999,total,aggm
AT,2020-05-22,114721253.764,total,aggm
AT,2020-05-23,127301936.66299999,total,aggm
AT,2020-05-24,162870706.68699998,total,aggm
AT,2020-05-25,172652780.611,total,aggm
AT,2020-05-26,162268754.99199998,total,aggm
AT,2020-05-27,171552397.618,total,aggm
AT,2020-05-28,164461397.531,total,aggm
AT,2020-05-29,142990609.248,total,aggm
AT,2020-05-30,145957583.63799998,total,aggm
AT,2020-05-31,138724297.669,total,aggm
AT,2020-06-01,158864280.441,total,aggm
AT,2020-06-02,174159853.121,total,aggm
AT,2020-06-03,135558245.34800002,total,aggm
AT,2020-06-04,148824146.863,total,aggm
AT,2020-06-05,109687567.381,total,aggm
AT,2020-06-06,103337809.53,total,aggm
AT,2020-06-07,130890766.288,total,aggm
AT,2020-06-08,142712513.84600002,total,aggm
AT,2020-06-09,145336045.186,total,aggm
AT,2020-06-10,112556559.548,total,aggm
AT,2020-06-11,107908848.11199999,total,aggm
AT,2020-06-12,93727352.252,total,aggm
AT,2020-06-13,97745578.56099999,total,aggm
AT,2020-06-14,129353644.90799999,total,aggm
AT,2020-06-15,132453428.13,total,aggm
AT,2020-06-16,137711552.01999998,total,aggm
AT,2020-06-17,126670205.76900001,total,aggm
AT,2020-06-18,125879740.38599999,total,aggm
AT,2020-06-19,118985792.349,total,aggm
