Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
01/11/2024 00:00:00,01/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1229848894,04/11/2024 16:01:00,A
01/11/2024 00:00:00,01/11/2024,"NTS Energy Offtaken, Powerstations Total",594711083,02/11/2024 12:01:00,A
31/10/2024 00:00:00,31/10/2024,"NTS Energy Offtaken, Industrial Offtake Total",36697340,01/11/2024 16:01:01,A
31/10/2024 00:00:00,31/10/2024,"NTS Energy Offtaken, LDZ Offtake Total",1166888275,04/11/2024 14:01:00,A
31/10/2024 00:00:00,31/10/2024,"NTS Energy Offtaken, Powerstations Total",473464556,04/11/2024 12:01:00,A
30/10/2024 00:00:00,30/10/2024,"NTS Energy Offtaken, Industrial Offtake Total",54330873,31/10/2024 14:01:00,A
30/10/2024 00:00:00,30/10/2024,"NTS Energy Offtaken, LDZ Offtake Total",1147793076,04/11/2024 14:01:00,A
30/10/2024 00:00:00,30/10/2024,"NTS Energy Offtaken, Powerstations Total",654513084,01/11/2024 12:01:00,A
29/10/2024 00:00:00,29/10/2024,"NTS Energy Offtaken, Industrial Offtake Total",51429121,31/10/2024 12:01:01,A
29/10/2024 00:00:00,29/10/2024,"NTS Energy Offtaken, LDZ Offtake Total",1046956215,01/11/2024 16:01:01,A
29/10/2024 00:00:00,29/10/2024,"NTS Energy Offtaken, Powerstations Total",725964501,30/10/2024 16:01:01,A
28/10/2024 00:00:00,28/10/2024,"NTS Energy Offtaken, Industrial Offtake Total",36834188,01/11/2024 12:01:00,A
28/10/2024 00:00:00,28/10/2024,"NTS Energy Offtaken, LDZ Offtake Total",1110939588,29/10/2024 14:01:01,A
28/10/2024 00:00:00,28/10/2024,"NTS Energy Offtaken, Powerstations Total",522540410,31/10/2024 16:01:01,A
27/10/2024 01:00:00,27/10/2024,"NTS Energy Offtaken, Industrial Offtake Total",34682390,31/10/2024 12:01:01,A
27/10/2024 01:00:00,27/10/2024,"NTS Energy Offtaken, LDZ Offtake Total",1143055686,29/10/2024 14:01:01,A
27/10/2024 01:00:00,27/10/2024,"NTS Energy Offtaken, Powerstations Total",241537313,31/10/2024 16:01:01,A
26/10/2024 01:00:00,26/10/2024,"NTS Energy Offtaken, Industrial Offtake Total",37260178,30/10/2024 12:01:01,A
26/10/2024 01:00:00,26/10/2024,"NTS Energy Offtaken, LDZ Offtake Total",1091955342,30/10/2024 12:01:01,A
26/10/2024 01:00:00,26/10/2024,"NTS Energy Offtaken, Powerstations Total",341383194,31/10/2024 16:01:01,A
25/10/2024 01:00:00,25/10/2024,"NTS Energy Offtaken, Industrial Offtake Total",56784251,30/10/2024 12:01:01,A
25/10/2024 01:00:00,25/10/2024,"NTS Energy Offtaken, LDZ Offtake Total",1045121481,29/10/2024 14:01:01,A
25/10/2024 01:00:00,25/10/2024,"NTS Energy Offtaken, Powerstations Total",586989045,30/10/2024 16:01:01,A
24/10/2024 01:00:00,24/10/2024,"NTS Energy Offtaken, Industrial Offtake Total",34861409,28/10/2024 14:01:01,A
24/10/2024 01:00:00,24/10/2024,"NTS Energy Offtaken, LDZ Offtake Total",1086594229,29/10/2024 14:01:01,A
24/10/2024 01:00:00,24/10/2024,"NTS Energy Offtaken, Powerstations Total",379504418,26/10/2024 12:01:00,A
23/10/2024 01:00:00,23/10/2024,"NTS Energy Offtaken, Industrial Offtake Total",42341415,28/10/2024 14:01:01,A
23/10/2024 01:00:00,23/10/2024,"NTS Energy Offtaken, LDZ Offtake Total",1137340366,25/10/2024 16:01:00,A
23/10/2024 01:00:00,23/10/2024,"NTS Energy Offtaken, Powerstations Total",510733411,26/10/2024 12:01:00,A
22/10/2024 01:00:00,22/10/2024,"NTS Energy Offtaken, Industrial Offtake Total",49776316,25/10/2024 14:01:01,A
22/10/2024 01:00:00,22/10/2024,"NTS Energy Offtaken, LDZ Offtake Total",1160262018,25/10/2024 12:01:01,A
22/10/2024 01:00:00,22/10/2024,"NTS Energy Offtaken, Powerstations Total",506921145,23/10/2024 12:01:00,A
21/10/2024 01:00:00,21/10/2024,"NTS Energy Offtaken, Industrial Offtake Total",34033295,24/10/2024 16:01:00,A
21/10/2024 01:00:00,21/10/2024,"NTS Energy Offtaken, LDZ Offtake Total",1169052980,23/10/2024 14:01:01,A
21/10/2024 01:00:00,21/10/2024,"NTS Energy Offtaken, Powerstations Total",385629543,24/10/2024 14:01:01,A
20/10/2024 01:00:00,20/10/2024,"NTS Energy Offtaken, Industrial Offtake Total",30486881,22/10/2024 16:01:01,A
20/10/2024 01:00:00,20/10/2024,"NTS Energy Offtaken, LDZ Offtake Total",1011271956,23/10/2024 14:01:01,A
20/10/2024 01:00:00,20/10/2024,"NTS Energy Offtaken, Powerstations Total",238515279,24/10/2024 12:01:00,A
19/10/2024 01:00:00,19/10/2024,"NTS Energy Offtaken, Industrial Offtake Total",30780505,23/10/2024 12:01:00,A
19/10/2024 01:00:00,19/10/2024,"NTS Energy Offtaken, LDZ Offtake Total",901304791,21/10/2024 16:01:01,A
