Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
01/03/2025 00:00:00,01/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1899080347,06/03/2025 14:01:01,A
01/03/2025 00:00:00,01/03/2025,"NTS Energy Offtaken, Powerstations Total",462515191,03/03/2025 14:01:01,A
28/02/2025 00:00:00,28/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",38126984,03/03/2025 14:01:01,A
28/02/2025 00:00:00,28/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2006720430,04/03/2025 12:01:01,A
28/02/2025 00:00:00,28/02/2025,"NTS Energy Offtaken, Powerstations Total",726467187,03/03/2025 14:01:01,A
27/02/2025 00:00:00,27/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",51990350,03/03/2025 12:01:01,A
27/02/2025 00:00:00,27/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",1972567052,28/02/2025 16:01:00,A
27/02/2025 00:00:00,27/02/2025,"NTS Energy Offtaken, Powerstations Total",745176516,04/03/2025 12:01:01,A
26/02/2025 00:00:00,26/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",47817053,28/02/2025 12:01:00,A
26/02/2025 00:00:00,26/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2018061133,28/02/2025 16:01:00,A
26/02/2025 00:00:00,26/02/2025,"NTS Energy Offtaken, Powerstations Total",675762234,27/02/2025 12:01:01,A
25/02/2025 00:00:00,25/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",43411054,27/02/2025 12:01:01,A
25/02/2025 00:00:00,25/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",1795374076,27/02/2025 14:01:01,A
25/02/2025 00:00:00,25/02/2025,"NTS Energy Offtaken, Powerstations Total",561884993,26/02/2025 14:01:00,A
24/02/2025 00:00:00,24/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",31152001,26/02/2025 12:01:00,A
24/02/2025 00:00:00,24/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",1580454026,26/02/2025 16:01:01,A
24/02/2025 00:00:00,24/02/2025,"NTS Energy Offtaken, Powerstations Total",272753148,27/02/2025 12:01:01,A
23/02/2025 00:00:00,23/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",32810465,24/02/2025 16:01:00,A
23/02/2025 00:00:00,23/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",1700395798,25/02/2025 14:01:00,A
23/02/2025 00:00:00,23/02/2025,"NTS Energy Offtaken, Powerstations Total",213132785,25/02/2025 16:01:01,A
22/02/2025 00:00:00,22/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",30926532,26/02/2025 14:01:00,A
22/02/2025 00:00:00,22/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",1422392778,25/02/2025 14:01:00,A
22/02/2025 00:00:00,22/02/2025,"NTS Energy Offtaken, Powerstations Total",229040765,26/02/2025 14:01:00,A
21/02/2025 00:00:00,21/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",26374432,24/02/2025 16:01:00,A
21/02/2025 00:00:00,21/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",1517002298,25/02/2025 14:01:00,A
21/02/2025 00:00:00,21/02/2025,"NTS Energy Offtaken, Powerstations Total",189073098,24/02/2025 14:01:01,A
20/02/2025 00:00:00,20/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",32513908,21/02/2025 16:01:00,A
20/02/2025 00:00:00,20/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",1755437238,22/02/2025 12:01:01,A
20/02/2025 00:00:00,20/02/2025,"NTS Energy Offtaken, Powerstations Total",224962800,24/02/2025 14:01:01,A
19/02/2025 00:00:00,19/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",38704472,21/02/2025 12:01:00,A
19/02/2025 00:00:00,19/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2309941386,22/02/2025 12:01:01,A
