country,date,demand,type
BE,2023-12-15,37505900.0,power
BG,2023-12-15,8762900.0,power
LU,2023-12-15,318950.0,power
AT,2023-12-15,46586800.0,power
LV,2023-12-15,8153000.0,power
GR,2023-12-15,40756000.0,power
SI,2023-12-15,1735700.0,power
CZ,2023-12-15,7208600.0,power
RO,2023-12-15,45247000.0,power
UK,2023-12-15,5244150.0,power
IE,2023-12-15,26005200.0,power
ES,2023-12-15,107487000.0,power
EE,2023-12-15,152400.0,power
NL,2023-12-15,135236950.0,power
IT,2023-12-15,259478000.0,power
FI,2023-12-15,11660600.0,power
PL,2023-12-15,51086400.0,power
DE,2023-12-15,188949175.0,power
PT,2023-12-15,10938400.0,power
DK,2023-12-15,9816500.0,power
SK,2023-12-15,8164400.0,power
FR,2023-12-15,161029000.0,power
NL,2023-12-16,40420299.99999999,power
FI,2023-12-16,3982700.0,power
LU,2023-12-16,268950.0,power
SK,2023-12-16,3172300.0,power
LV,2023-12-16,3619000.0,power
ES,2023-12-16,106680000.0,power
LT,2023-12-16,1095300.0,power
PT,2023-12-16,14292600.0,power
SE,2023-12-16,1900.0,power
IE,2023-12-16,6077200.0,power
CZ,2023-12-16,6550600.0,power
DK,2023-12-16,4687600.0,power
PL,2023-12-16,40675000.0,power
RO,2023-12-16,42154225.0,power
IT,2023-12-16,153879000.0,power
SI,2023-12-16,1709100.0,power
FR,2023-12-16,69707000.0,power
BE,2023-12-16,22138900.0,power
HR,2023-12-16,10598800.0,power
HU,2023-12-16,15021750.0,power
AT,2023-12-16,20366800.0,power
GR,2023-12-16,22892000.0,power
DE,2023-12-16,139523825.0,power
UK,2023-12-16,5370500.0,power
BG,2023-12-16,9268700.0,power
EE,2023-12-16,153600.00000000003,power
LT,2023-12-17,1102600.0,power
IT,2023-12-17,182266000.0,power
CZ,2023-12-17,6047100.0,power
NL,2023-12-17,28505175.0,power
BG,2023-12-17,9224400.0,power
RO,2023-12-17,30219200.0,power
SI,2023-12-17,1688800.0,power
DK,2023-12-17,3531400.0,power
LU,2023-12-17,241000.0,power
HR,2023-12-17,10309200.0,power
SK,2023-12-17,3025800.0,power
ES,2023-12-17,120484000.0,power
AT,2023-12-17,15032100.0,power
IE,2023-12-17,5275300.0,power
DE,2023-12-17,123661725.0,power
UK,2023-12-17,5292050.0,power
FR,2023-12-17,49668000.0,power
BE,2023-12-17,16676200.0,power
EE,2023-12-17,148400.0,power
PT,2023-12-17,15079500.0,power
HU,2023-12-17,15388225.0,power
FI,2023-12-17,3829400.0,power
LV,2023-12-17,3621000.0,power
PL,2023-12-17,39620600.0,power
SE,2023-12-17,2200.0,power
GR,2023-12-17,20783000.0,power
IT,2023-12-18,332876000.0,power
LU,2023-12-18,341300.0,power
NL,2023-12-18,50087325.0,power
HR,2023-12-18,10333600.0,power
SK,2023-12-18,8474800.0,power
AT,2023-12-18,42246100.0,power
EE,2023-12-18,155700.0,power
IE,2023-12-18,20835600.0,power
RO,2023-12-18,36532750.0,power
PL,2023-12-18,45703000.0,power
SI,2023-12-18,1667600.0,power
PT,2023-12-18,43791400.0,power
UK,2023-12-18,6552750.0,power
CZ,2023-12-18,6933900.0,power
FR,2023-12-18,128717000.0,power
ES,2023-12-18,200891000.0,power
HU,2023-12-18,22750150.0,power
LT,2023-12-18,1774800.0,power
BE,2023-12-18,25898400.0,power
SE,2023-12-18,1600.0,power
FI,2023-12-18,3388600.0,power
DK,2023-12-18,5904200.0,power
DE,2023-12-18,157668400.0,power
BG,2023-12-18,9152900.0,power
LV,2023-12-18,4255000.0,power
GR,2023-12-18,32340000.0,power
CZ,2023-12-19,6890500.0,power
LU,2023-12-19,361275.0,power
SI,2023-12-19,1724300.0,power
PT,2023-12-19,23891400.0,power
HU,2023-12-19,24478700.0,power
PL,2023-12-19,43300700.0,power
BE,2023-12-19,23116400.0,power
SE,2023-12-19,1400.0000000000002,power
UK,2023-12-19,5283100.0,power
IE,2023-12-19,22127700.0,power
AT,2023-12-19,36989000.0,power
FR,2023-12-19,94129000.0,power
FI,2023-12-19,3638000.0,power
SK,2023-12-19,6860100.0,power
BG,2023-12-19,9145600.0,power
DK,2023-12-19,6532700.0,power
LT,2023-12-19,1051500.0,power
RO,2023-12-19,44795250.0,power
GR,2023-12-19,52216000.0,power
ES,2023-12-19,164325000.0,power
DE,2023-12-19,154341625.0,power
LV,2023-12-19,854000.0,power
EE,2023-12-19,154900.0,power
NL,2023-12-19,81121075.0,power
IT,2023-12-19,360603000.0,power
HR,2023-12-19,11154400.0,power
IE,2023-12-20,9638900.0,power
SI,2023-12-20,1727400.0,power
LV,2023-12-20,1638000.0,power
AT,2023-12-20,26929800.0,power
IT,2023-12-20,368093000.0,power
HU,2023-12-20,23884825.0,power
DK,2023-12-20,6251200.0,power
PT,2023-12-20,5915900.0,power
NL,2023-12-20,36476075.0,power
FI,2023-12-20,3422900.0,power
DE,2023-12-20,142865075.0,power
BE,2023-12-20,17077400.0,power
SE,2023-12-20,1600.0,power
PL,2023-12-20,40792000.0,power
UK,2023-12-20,5270250.0,power
SK,2023-12-20,3355200.0,power
ES,2023-12-20,98882000.0,power
LU,2023-12-20,327425.0,power
BG,2023-12-20,8898900.0,power
LT,2023-12-20,980700.0,power
CZ,2023-12-20,6706500.0,power
RO,2023-12-20,44814050.0,power
GR,2023-12-20,63396000.0,power
HR,2023-12-20,11289200.0,power
FR,2023-12-20,51767000.0,power
EE,2023-12-20,155100.0,power
DE,2023-12-21,89960025.0,power
BE,2023-12-21,14635600.0,power
LV,2023-12-21,0.0,power
GR,2023-12-21,51887000.0,power
IT,2023-12-21,295611000.0,power
DK,2023-12-21,4176000.0,power
BG,2023-12-21,8967900.0,power
SK,2023-12-21,3089000.0,power
RO,2023-12-21,44371425.0,power
HU,2023-12-21,21600000.0,power
FR,2023-12-21,48957000.0,power
LT,2023-12-21,953400.0,power
FI,2023-12-21,2335500.0,power
