"Name","Location","Date","Value","Unit"
"DM","DM",2020-01-27,12613091,"kWh"
"DM","DM",2020-01-28,13268508,"kWh"
"DM","DM",2020-01-29,11996281,"kWh"
"DM","DM",2020-01-30,10953321,"kWh"
"DM","DM",2020-01-31,10121029,"kWh"
"DM","DM",2020-02-01,8773515,"kWh"
"DM","DM",2020-02-02,8415825,"kWh"
"DM","DM",2020-02-03,12250923,"kWh"
"DM","DM",2020-02-04,12495287,"kWh"
"DM","DM",2020-02-05,12345315,"kWh"
"DM","DM",2020-02-06,12066071,"kWh"
"DM","DM",2020-02-07,11175999,"kWh"
"DM","DM",2020-02-08,9017490,"kWh"
"DM","DM",2020-02-09,8807390,"kWh"
"DM","DM",2020-02-10,13217558,"kWh"
"DM","DM",2020-02-11,13568353,"kWh"
"DM","DM",2020-02-12,12916163,"kWh"
"DM","DM",2020-02-13,12374268,"kWh"
"DM","DM",2020-02-14,11071092,"kWh"
"DM","DM",2020-02-15,8808562,"kWh"
"DM","DM",2020-02-16,9267502,"kWh"
"DM","DM",2020-02-17,12614445,"kWh"
"DM","DM",2020-02-18,12901243,"kWh"
"DM","DM",2020-02-19,11949958,"kWh"
"DM","DM",2020-02-20,12785746,"kWh"
"DM","DM",2020-02-21,11210684,"kWh"
"DM","DM",2020-02-22,9242194,"kWh"
"DM","DM",2020-02-23,8955084,"kWh"
"DM","DM",2020-02-24,12049704,"kWh"
"DM","DM",2020-02-25,13637978,"kWh"
"DM","DM",2020-02-26,13280790,"kWh"
"DM","DM",2020-02-27,12814170,"kWh"
"DM","DM",2020-02-28,11316738,"kWh"
"DM","DM",2020-02-29,10174809,"kWh"
"DM","DM",2020-03-01,9552416,"kWh"
"DM","DM",2020-03-02,13017335,"kWh"
"DM","DM",2020-03-03,12795940,"kWh"
"DM","DM",2020-03-04,12797577,"kWh"
"DM","DM",2020-03-05,12915000,"kWh"
"DM","DM",2020-03-06,11969648,"kWh"
"DM","DM",2020-03-07,8914886,"kWh"
"DM","DM",2020-03-08,9155076,"kWh"
"DM","DM",2020-03-09,11770862,"kWh"
"DM","DM",2020-03-10,11844348,"kWh"
"DM","DM",2020-03-11,12420855,"kWh"
"DM","DM",2020-03-12,12990114,"kWh"
"DM","DM",2020-03-13,11662992,"kWh"
"DM","DM",2020-03-14,9231717,"kWh"
"DM","DM",2020-03-15,9083295,"kWh"
"DM","DM",2020-03-16,10751956,"kWh"
"DM","DM",2020-03-17,9136614,"kWh"
"DM","DM",2020-03-18,11878053,"kWh"
"DM","DM",2020-03-19,12046491,"kWh"
"DM","DM",2020-03-20,11658721,"kWh"
"DM","DM",2020-03-21,9418978,"kWh"
"DM","DM",2020-03-22,8857213,"kWh"
"DM","DM",2020-03-23,11056976,"kWh"
"DM","DM",2020-03-24,10746292,"kWh"
"DM","DM",2020-03-25,10393130,"kWh"
"DM","DM",2020-03-26,10575245,"kWh"
"DM","DM",2020-03-27,10111560,"kWh"
"DM","DM",2020-03-28,8256735,"kWh"
"DM","DM",2020-03-29,8861693,"kWh"
"DM","DM",2020-03-30,11112358,"kWh"
"DM","DM",2020-03-31,10553858,"kWh"
"DM","DM",2020-04-01,10590590,"kWh"
"DM","DM",2020-04-02,10267747,"kWh"
"DM","DM",2020-04-03,9573099,"kWh"
"DM","DM",2020-04-04,7890067,"kWh"
"DM","DM",2020-04-05,7289501,"kWh"
"DM","DM",2020-04-06,9716128,"kWh"
"DM","DM",2020-04-07,9593605,"kWh"
"DM","DM",2020-04-08,9229784,"kWh"
"DM","DM",2020-04-09,8968449,"kWh"
"DM","DM",2020-04-10,7914625,"kWh"
"DM","DM",2020-04-11,6669571,"kWh"
"DM","DM",2020-04-12,7113392,"kWh"
"DM","DM",2020-04-13,7887459,"kWh"
"DM","DM",2020-04-14,9419728,"kWh"
"DM","DM",2020-04-15,9513609,"kWh"
"DM","DM",2020-04-16,9065357,"kWh"
"DM","DM",2020-04-17,8580920,"kWh"
"DM","DM",2020-04-18,7299717,"kWh"
"DM","DM",2020-04-19,6939579,"kWh"
"DM","DM",2020-04-20,8799772,"kWh"
"DM","DM",2020-04-21,8868435,"kWh"
"DM","DM",2020-04-22,8540985,"kWh"
"DM","DM",2020-04-23,8354832,"kWh"
"DM","DM",2020-04-24,8069682,"kWh"
"DM","DM",2020-04-25,6416953,"kWh"
"DM","DM",2020-04-26,6361889,"kWh"
"DM","DM",2020-04-27,8843835,"kWh"
"DM","DM",2020-04-28,8958039,"kWh"
"DM","DM",2020-04-29,8938555,"kWh"
"DM","DM",2020-04-30,9012708,"kWh"
"DM","DM",2020-05-01,8631246,"kWh"
"DM","DM",2020-05-02,6798305,"kWh"
"DM","DM",2020-05-03,6060050,"kWh"
"DM","DM",2020-05-04,6595077,"kWh"
"DM","DM",2020-05-05,8440795,"kWh"
"DM","DM",2020-05-06,8556001,"kWh"
"DM","DM",2020-05-07,8261826,"kWh"
"DM","DM",2020-05-08,7644824,"kWh"
"DM","DM",2020-05-09,6184688,"kWh"
"DM","DM",2020-05-10,6803560,"kWh"
"DM","DM",2020-05-11,9499527,"kWh"
"DM","DM",2020-05-12,9403994,"kWh"
"DM","DM",2020-05-13,9698729,"kWh"
"DM","DM",2020-05-14,8730803,"kWh"
"DM","DM",2020-05-15,8251476,"kWh"
"DM","DM",2020-05-16,6409086,"kWh"
"DM","DM",2020-05-17,6206120,"kWh"
"DM","DM",2020-05-18,8244855,"kWh"
"DM","DM",2020-05-19,8355143,"kWh"
"DM","DM",2020-05-20,8059667,"kWh"
"DM","DM",2020-05-21,8153056,"kWh"
"DM","DM",2020-05-22,7737770,"kWh"
"DM","DM",2020-05-23,6381440,"kWh"
"DM","DM",2020-05-24,5803138,"kWh"
"DM","DM",2020-05-25,8012565,"kWh"
"DM","DM",2020-05-26,8139322,"kWh"
"DM","DM",2020-05-27,8151431,"kWh"
"DM","DM",2020-05-28,7776186,"kWh"
"DM","DM",2020-05-29,7050541,"kWh"
"DM","DM",2020-05-30,5398253,"kWh"
"DM","DM",2020-05-31,5150731,"kWh"
"DM","DM",2020-06-01,5479613,"kWh"
"DM","DM",2020-06-02,7155109,"kWh"
"DM","DM",2020-06-03,8394233,"kWh"
"DM","DM",2020-06-04,8550332,"kWh"
"DM","DM",2020-06-05,8365934,"kWh"
"DM","DM",2020-06-06,6807279,"kWh"
"DM","DM",2020-06-07,6366079,"kWh"
"DM","DM",2020-06-08,8380401,"kWh"
"DM","DM",2020-06-09,8642144,"kWh"
"DM","DM",2020-06-10,8710982,"kWh"
"DM","DM",2020-06-11,8554660,"kWh"
"DM","DM",2020-06-12,8104097,"kWh"
"DM","DM",2020-06-13,5991027,"kWh"
"DM","DM",2020-06-14,5640632,"kWh"
"DM","DM",2020-06-15,7817220,"kWh"
"DM","DM",2020-06-16,8211143,"kWh"
"DM","DM",2020-06-17,8399074,"kWh"
"DM","DM",2020-06-18,8288638,"kWh"
"DM","DM",2020-06-19,8138575,"kWh"
"DM","DM",2020-06-20,6275083,"kWh"
