date,demand,idt
2020-01-09,201800885.0,be-tso-0001dis-00191exit
2020-01-10,224459798.0,be-tso-0001dis-00191exit
2020-01-11,231801411.0,be-tso-0001dis-00191exit
2020-01-12,232594122.0,be-tso-0001dis-00191exit
2020-01-13,246281288.0,be-tso-0001dis-00191exit
2020-01-14,231727534.0,be-tso-0001dis-00191exit
2020-01-15,234553864.0,be-tso-0001dis-00191exit
2020-01-16,233990302.0,be-tso-0001dis-00191exit
2020-01-17,231061958.0,be-tso-0001dis-00191exit
2020-01-18,238444381.0,be-tso-0001dis-00191exit
2020-01-19,255280064.0,be-tso-0001dis-00191exit
2020-01-20,296592086.0,be-tso-0001dis-00191exit
2020-01-21,314786067.0,be-tso-0001dis-00191exit
2020-01-22,312893025.0,be-tso-0001dis-00191exit
2020-01-23,292548914.0,be-tso-0001dis-00191exit
2020-01-24,306300965.0,be-tso-0001dis-00191exit
2020-01-25,280197599.0,be-tso-0001dis-00191exit
2020-01-26,237765222.0,be-tso-0001dis-00191exit
2020-01-27,250681856.0,be-tso-0001dis-00191exit
2020-01-28,277309374.0,be-tso-0001dis-00191exit
2020-01-29,274274155.0,be-tso-0001dis-00191exit
2020-01-30,251637532.0,be-tso-0001dis-00191exit
2020-01-31,205870384.0,be-tso-0001dis-00191exit
2020-02-01,185628855.0,be-tso-0001dis-00191exit
2020-02-02,189497525.0,be-tso-0001dis-00191exit
2020-02-03,217685830.0,be-tso-0001dis-00191exit
2020-02-04,261799487.0,be-tso-0001dis-00191exit
2020-02-05,258209326.0,be-tso-0001dis-00191exit
2020-02-06,264682027.0,be-tso-0001dis-00191exit
2020-02-07,252770678.0,be-tso-0001dis-00191exit
2020-02-08,213500752.0,be-tso-0001dis-00191exit
2020-02-09,214675841.0,be-tso-0001dis-00191exit
2020-02-10,252556963.0,be-tso-0001dis-00191exit
2020-02-11,273557195.0,be-tso-0001dis-00191exit
2020-02-12,269288377.0,be-tso-0001dis-00191exit
2020-02-13,263624215.0,be-tso-0001dis-00191exit
2020-02-14,233016810.0,be-tso-0001dis-00191exit
2020-02-15,194260663.0,be-tso-0001dis-00191exit
2020-02-16,181241113.0,be-tso-0001dis-00191exit
2020-02-17,226505536.0,be-tso-0001dis-00191exit
2020-02-18,242545551.0,be-tso-0001dis-00191exit
2020-02-19,243192477.0,be-tso-0001dis-00191exit
2020-02-20,246382521.0,be-tso-0001dis-00191exit
2020-02-21,245048030.0,be-tso-0001dis-00191exit
2020-02-22,221259653.0,be-tso-0001dis-00191exit
2020-02-23,202459364.0,be-tso-0001dis-00191exit
2020-02-24,227912736.0,be-tso-0001dis-00191exit
2020-02-25,234616655.0,be-tso-0001dis-00191exit
2020-02-26,277387902.0,be-tso-0001dis-00191exit
2020-02-27,303233172.0,be-tso-0001dis-00191exit
2020-02-28,278255354.0,be-tso-0001dis-00191exit
2020-02-29,228324954.0,be-tso-0001dis-00191exit
2020-03-01,229907763.0,be-tso-0001dis-00191exit
2020-03-02,261998415.0,be-tso-0001dis-00191exit
2020-03-03,259096287.0,be-tso-0001dis-00191exit
2020-03-04,248896207.0,be-tso-0001dis-00191exit
2020-03-05,252745624.0,be-tso-0001dis-00191exit
2020-03-06,253471251.0,be-tso-0001dis-00191exit
2020-03-07,212344518.0,be-tso-0001dis-00191exit
2020-03-08,216312301.0,be-tso-0001dis-00191exit
2020-03-09,231211780.0,be-tso-0001dis-00191exit
2020-03-10,219583043.0,be-tso-0001dis-00191exit
2020-03-11,190811268.0,be-tso-0001dis-00191exit
2020-03-12,203138776.0,be-tso-0001dis-00191exit
2020-03-13,216309311.0,be-tso-0001dis-00191exit
2020-03-14,188418834.0,be-tso-0001dis-00191exit
2020-03-15,179488361.0,be-tso-0001dis-00191exit
2020-03-16,193868627.0,be-tso-0001dis-00191exit
2020-03-17,180069598.0,be-tso-0001dis-00191exit
2020-03-18,158984578.0,be-tso-0001dis-00191exit
2020-03-19,161807938.0,be-tso-0001dis-00191exit
2020-03-20,199686700.0,be-tso-0001dis-00191exit
2020-03-21,189227585.0,be-tso-0001dis-00191exit
2020-03-22,191970511.0,be-tso-0001dis-00191exit
2020-03-23,210218135.0,be-tso-0001dis-00191exit
2020-03-24,201487088.0,be-tso-0001dis-00191exit
2020-03-25,197818039.0,be-tso-0001dis-00191exit
2020-03-26,194695219.0,be-tso-0001dis-00191exit
2020-03-27,173889270.0,be-tso-0001dis-00191exit
2020-03-28,151443617.0,be-tso-0001dis-00191exit
2020-03-29,204598094.0,be-tso-0001dis-00191exit
2020-03-30,220472481.0,be-tso-0001dis-00191exit
2020-03-31,206445346.0,be-tso-0001dis-00191exit
2020-04-01,198244907.0,be-tso-0001dis-00191exit
2020-04-02,197417559.0,be-tso-0001dis-00191exit
2020-04-03,174331980.0,be-tso-0001dis-00191exit
2020-04-04,132522947.0,be-tso-0001dis-00191exit
2020-04-05,101668822.0,be-tso-0001dis-00191exit
2020-04-06,106319426.0,be-tso-0001dis-00191exit
2020-04-07,99517796.0,be-tso-0001dis-00191exit
2020-04-08,84707378.0,be-tso-0001dis-00191exit
2020-04-09,81424477.0,be-tso-0001dis-00191exit
2020-04-10,77129089.0,be-tso-0001dis-00191exit
2020-04-11,66333177.0,be-tso-0001dis-00191exit
2020-04-12,60245550.0,be-tso-0001dis-00191exit
2020-04-13,98211442.0,be-tso-0001dis-00191exit
2020-04-14,142085552.0,be-tso-0001dis-00191exit
2020-04-15,124371684.0,be-tso-0001dis-00191exit
2020-04-16,96098609.0,be-tso-0001dis-00191exit
2020-04-17,83969799.0,be-tso-0001dis-00191exit
2020-04-18,90574016.0,be-tso-0001dis-00191exit
2020-04-19,94996548.0,be-tso-0001dis-00191exit
2020-04-20,100481618.0,be-tso-0001dis-00191exit
2020-04-21,94584740.0,be-tso-0001dis-00191exit
2020-04-22,86207388.0,be-tso-0001dis-00191exit
2020-04-23,79171580.0,be-tso-0001dis-00191exit
2020-04-24,78344461.0,be-tso-0001dis-00191exit
2020-04-25,81809628.0,be-tso-0001dis-00191exit
2020-04-26,80357703.0,be-tso-0001dis-00191exit
2020-04-27,83656487.0,be-tso-0001dis-00191exit
2020-04-28,100617618.0,be-tso-0001dis-00191exit
2020-04-29,106965815.0,be-tso-0001dis-00191exit
2020-04-30,107075167.0,be-tso-0001dis-00191exit
2020-05-01,99899404.0,be-tso-0001dis-00191exit
2020-05-02,99823758.0,be-tso-0001dis-00191exit
2020-05-03,96513389.0,be-tso-0001dis-00191exit
2020-05-04,111638640.0,be-tso-0001dis-00191exit
2020-05-05,116813037.0,be-tso-0001dis-00191exit
2020-05-06,104557428.0,be-tso-0001dis-00191exit
2020-05-07,90828022.0,be-tso-0001dis-00191exit
